id,created_at,updated_at,pushed_at,size,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,archived,open_issues_count,is_template,web_commit_signoff_required,forks,open_issues,network_count,subscribers_count,language_TypeScript,language_Markdown,language_HTML,language_Python,language_JavaScript,language_C,language_C++,language_Shell,language_MDX,language_Dart,language_Jupyter Notebook,language_Java,language_Go,language_Batchfile,language_C#,language_Rust,language_Dockerfile,language_Vim Script,language_Vue,language_CSS,language_Blade,language_Clojure,language_Zig,language_Scala,language_PHP,language_Assembly,language_Nunjucks,language_Ruby,language_Kotlin,language_Makefile,language_Swift,language_Julia,language_Astro,language_Roff,language_Lua,language_Haskell,language_Svelte,language_TeX,language_V,language_PowerShell,language_Objective-C,language_LLVM,language_Jinja,language_SCSS,language_Elixir,language_Cuda
1062897,1289247434,1747909948,1747871446,2584,166664,0,0,1,0,0,1,83087,0,493,0,0,83087,493,83087,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35955666,1432134663,1747913071,1719339224,2772,156050,1,1,1,0,0,0,14661,0,248,0,0,14661,248,14661,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527591471,1661177126,1747907790,1746253023,36427,152707,1,1,1,1,0,1,28406,0,2400,0,0,28406,2400,28406,1125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132464395,1525699620,1747910505,1747293116,177078,149835,1,1,1,1,0,1,45844,0,70,0,0,45844,70,45844,4482,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6498492,1351811630,1747907591,1733727378,3689,146762,1,0,1,1,1,0,26762,0,173,0,0,26762,173,26762,3730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155220641,1540821360,1747912480,1747912473,309426,144653,1,1,1,1,0,0,29042,0,1798,0,0,29042,1798,29042,1152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21540759,1404654135,1747911440,1746721601,10509,144072,1,0,1,0,1,1,12304,0,124,0,0,12304,124,12304,2823,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658928958,1687808372,1747912729,1747891109,44356,141305,1,0,1,0,0,0,11832,0,1840,0,0,11832,1840,11832,814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039520,1288535707,1747911282,1746359585,65579,135757,1,1,1,0,1,0,10333,0,4158,0,0,10333,4158,10333,2176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233472199,1578870214,1747913083,1747572079,11299,135666,1,1,1,0,0,1,13191,0,1,0,0,13191,1,13191,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70107786,1475710371,1747912866,1747912711,2246921,131976,1,0,1,0,0,1,28426,0,3208,0,0,28426,3208,28426,1477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241576270,1582102883,1747908984,1738305022,126276,127979,1,1,1,1,0,1,23362,0,42,0,0,23362,42,23362,2288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23096959,1408422820,1747911226,1747887680,396250,127939,1,1,1,1,0,1,18049,0,9336,0,0,18049,9336,18049,3363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62607227,1467694848,1747913033,1745800385,32500,126399,1,0,1,1,0,1,15417,0,52,0,0,15417,52,15417,2167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574523116,1670248453,1747912930,1747384239,1504,126116,0,0,1,0,1,0,16780,0,274,0,0,16780,274,16780,1479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112507086,1511976903,1747907871,1747847709,727854,123716,1,0,1,0,0,0,12167,0,1,0,1,12167,1,12167,2593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111583593,1511287227,1747910514,1747331903,7502,122437,1,0,1,1,0,0,11503,0,2405,0,0,11503,2405,11503,1294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29028775,1420827016,1747912971,1747910703,918058,122131,1,1,1,1,1,0,24668,0,984,0,0,24668,984,24668,3580,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184456251,1556732642,1747910170,1747911599,428210,119129,1,1,1,1,0,0,7043,0,6596,0,0,7043,6596,7043,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9384267,1365731256,1747904951,1747910249,175474,116840,1,1,1,0,0,0,16054,0,933,0,0,16054,933,16054,2814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20580498,1402095364,1747912542,1747898076,1370628,115268,1,1,1,0,0,0,40591,0,2532,0,0,40591,2532,40591,3215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14098069,1383530359,1747910543,1721033720,1059,113908,0,0,1,0,0,0,28319,0,31,0,0,28319,31,28319,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307260205,1603686175,1747913063,1747907883,54272,112808,1,1,1,1,1,1,8875,0,1930,0,0,8875,1930,8875,601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561730219,1667560114,1747911977,1747807845,362630,112688,1,1,1,0,1,1,14006,0,25,0,0,14006,25,14006,578,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58028038,1462343051,1747912994,1747100742,7069,112099,1,1,1,0,0,1,10201,0,184,0,0,10201,184,10201,3546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27193779,1417031831,1747912903,1747911856,1340094,111353,1,1,1,0,0,0,31603,0,2244,0,0,31603,2244,31603,2954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943149,1285608162,1747899568,1741594940,59338,110672,1,0,1,0,1,1,22862,0,20,0,0,22862,20,22862,3594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552661142,1665975516,1747912794,1747878403,429175,107942,1,1,1,0,0,1,17573,0,289,0,0,17573,289,17573,753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
